PerceptionValue,MaxSpeed,Layout,GroupsStart,GroupsX1,GroupsX2,GroupsEnd
2.0,3.0,20260908_013309_layout_35,3,2,2,4
2.0,3.0,20260908_013309_layout_36,2,6,6,7
2.0,3.0,20260908_013309_layout_37,1,2,2,7
2.0,3.0,20260908_013309_layout_38,4,2,2,4
2.0,3.0,20260908_013309_layout_39,1,2,2,6
2.5,1.5,20260908_013309_layout_00,2,4,3,2
2.5,1.5,20260908_013309_layout_01,4,2,2,2
2.5,1.5,20260908_013309_layout_02,6,2,2,3
2.5,1.5,20260908_013309_layout_03,3,2,2,2
2.5,1.5,20260908_013309_layout_04,4,2,2,2
2.5,1.5,20260908_013309_layout_05,1,1,1,1
2.5,1.5,20260908_013309_layout_06,2,3,3,2
2.5,1.5,20260908_013309_layout_07,3,2,2,3
2.5,1.5,20260908_013309_layout_08,2,1,1,1
2.5,1.5,20260908_013309_layout_09,3,1,1,1
2.5,1.5,20260908_013309_layout_10,3,2,2,2
2.5,1.5,20260908_013309_layout_11,5,2,2,5
2.5,1.5,20260908_013309_layout_12,2,2,2,3
2.5,1.5,20260908_013309_layout_13,2,2,2,2
2.5,1.5,20260908_013309_layout_14,5,3,3,4
2.5,1.5,20260908_013309_layout_15,4,1,1,1
2.5,1.5,20260908_013309_layout_16,5,2,2,2
2.5,1.5,20260908_013309_layout_17,3,2,2,2
2.5,1.5,20260908_013309_layout_18,3,1,1,1
2.5,1.5,20260908_013309_layout_19,3,1,1,1
2.5,1.5,20260908_013309_layout_20,3,1,1,1
2.5,1.5,20260908_013309_layout_21,5,3,3,1
2.5,1.5,20260908_013309_layout_22,3,2,2,2
2.5,1.5,20260908_013309_layout_23,3,3,3,3
2.5,1.5,20260908_013309_layout_24,4,2,2,2
2.5,1.5,20260908_013309_layout_25,4,4,4,2
2.5,1.5,20260908_013309_layout_26,2,2,2,2
2.5,1.5,20260908_013309_layout_27,4,2,2,2
2.5,1.5,20260908_013309_layout_28,5,1,2,2
2.5,1.5,20260908_013309_layout_29,3,2,2,2
2.5,1.5,20260908_013309_layout_30,4,2,2,2
2.5,1.5,20260908_013309_layout_31,1,2,2,3
2.5,1.5,20260908_013309_layout_32,3,2,2,1
2.5,1.5,20260908_013309_layout_33,3,1,1,1
2.5,1.5,20260908_013309_layout_34,3,2,2,4
2.5,1.5,20260908_013309_layout_35,3,2,2,2
2.5,1.5,20260908_013309_layout_36,2,2,2,2
2.5,1.5,20260908_013309_layout_37,1,2,2,4
2.5,1.5,20260908_013309_layout_38,2,2,2,2
2.5,1.5,20260908_013309_layout_39,2,1,1,1
2.5,3.0,20260908_013309_layout_00,2,2,2,2
2.5,3.0,20260908_013309_layout_01,3,2,2,2
2.5,3.0,20260908_013309_layout_02,5,2,2,7
2.5,3.0,20260908_013309_layout_03,3,3,3,4
2.5,3.0,20260908_013309_layout_04,4,3,3,3
2.5,3.0,20260908_013309_layout_05,1,3,3,2
2.5,3.0,20260908_013309_layout_06,2,2,2,7
2.5,3.0,20260908_013309_layout_07,3,2,2,8
2.5,3.0,20260908_013309_layout_08,2,4,4,2
2.5,3.0,20260908_013309_layout_09,2,1,1,2
2.5,3.0,20260908_013309_layout_10,2,2,2,2
2.5,3.0,20260908_013309_layout_11,2,2,2,2
2.5,3.0,20260908_013309_layout_12,1,3,3,3
2.5,3.0,20260908_013309_layout_13,2,3,3,2
2.5,3.0,20260908_013309_layout_14,3,2,2,4
2.5,3.0,20260908_013309_layout_15,3,2,2,4
2.5,3.0,20260908_013309_layout_16,5,2,2,2
2.5,3.0,20260908_013309_layout_17,3,2,2,2
2.5,3.0,20260908_013309_layout_18,2,2,2,3
2.5,3.0,20260908_013309_layout_19,3,1,1,3
2.5,3.0,20260908_013309_layout_20,3,1,1,1
2.5,3.0,20260908_013309_layout_21,4,4,3,3
2.5,3.0,20260908_013309_layout_22,3,4,4,3
2.5,3.0,20260908_013309_layout_23,2,3,3,6
2.5,3.0,20260908_013309_layout_24,1,2,2,2
2.5,3.0,20260908_013309_layout_25,4,3,3,4
2.5,3.0,20260908_013309_layout_26,2,2,2,5
2.5,3.0,20260908_013309_layout_27,3,2,2,2
2.5,3.0,20260908_013309_layout_28,4,1,2,4
2.5,3.0,20260908_013309_layout_29,2,2,2,2
2.5,3.0,20260908_013309_layout_30,3,2,2,3
2.5,3.0,20260908_013309_layout_31,1,2,2,2
2.5,3.0,20260908_013309_layout_32,4,2,2,2
2.5,3.0,20260908_013309_layout_33,2,1,1,3
2.5,3.0,20260908_013309_layout_34,3,2,2,3
2.5,3.0,20260908_013309_layout_35,3,2,2,2
2.5,3.0,20260908_013309_layout_36,2,4,4,5
2.5,3.0,20260908_013309_layout_37,1,2,2,3
2.5,3.0,20260908_013309_layout_38,2,2,2,4
2.5,3.0,20260908_013309_layout_39,1,1,4,2
3.0,1.5,20260908_013309_layout_00,2,2,2,2
3.0,1.5,20260908_013309_layout_01,3,1,1,2
3.0,1.5,20260908_013309_layout_02,6,2,2,2
3.0,1.5,20260908_013309_layout_03,2,1,1,1
3.0,1.5,20260908_013309_layout_04,4,2,2,2
3.0,1.5,20260908_013309_layout_05,1,2,2,2
3.0,1.5,20260908_013309_layout_06,2,1,1,2
3.0,1.5,20260908_013309_layout_07,3,2,2,2
3.0,1.5,20260908_013309_layout_08,2,1,1,1
